id,chars,entities,recurse,time
74288,132,0,1,2.608066
133785,35,0,1,0.014547
280734,35,0,1,0.014425
173191,35,0,1,0.014435
229701,35,0,1,0.014446
74726,132,0,1,0.016917
92582,22,0,1,0.014014
383638,10951,3,25,2.353643
444895,989,1,2,0.058937
442174,83,0,1,0.015759
251300,35,0,1,0.014576
332740,255,1,4,0.071636
371457,16122,1,5,2.15135
190371,35,0,1,0.016099
337479,76,1,3,0.035722
98505,35,0,1,0.014619
419728,76649,7,98,22.218713
296052,44,2,3,0.04938
128750,35,0,1,0.014726
25726,50,0,1,0.015004
379736,1167,3,8,0.169038
260095,35,0,1,0.014682
200380,35,0,1,0.014735
59414,35,0,1,0.014719
54454,35,0,1,0.014772
291677,32,0,1,0.014498
175263,35,0,1,0.014756
180209,35,0,1,0.014883
422057,123,0,1,0.016902
208166,35,0,1,0.014672
53513,35,0,1,0.014665
66001,35,0,1,0.014648
290916,35,0,1,0.014637
449880,729,1,5,0.111165
151984,35,0,1,0.014739
395149,1296,2,4,0.105398
286053,35,0,1,0.015959
387925,33,0,1,0.015632
328862,1550,2,10,0.248324
218624,35,0,1,0.014814
406174,15699,4,7,2.755723
110986,35,0,1,0.014844
289412,35,0,1,0.014643
188197,35,0,1,0.014591
423107,883,3,7,0.140718
222142,35,0,1,0.014884
295403,35,0,1,0.01471
347476,5607,1,5,0.921781
236600,24,0,1,0.014537
374040,2216,3,12,0.620827
356084,5629,4,22,1.07313
276684,35,0,1,0.014816
289012,35,0,1,0.014708
293075,35,0,1,0.014781
394382,7543,5,20,1.375942
214726,35,0,1,0.014818
259355,35,0,1,0.014642
211392,35,0,1,0.015153
45708,35,0,1,0.014945
47368,67,1,2,0.032851
358239,186,1,2,0.035282
311776,10,0,1,0.01389
240933,35,0,1,0.014899
212019,35,0,1,0.014833
183545,35,0,1,0.014853
id,chars,entities,recurse,time
60962,35,0,1,2.115579
129951,35,0,1,0.015407
44841,35,0,1,0.014774
348096,307,1,2,0.318116
118117,35,0,1,0.014888
201083,35,0,1,0.014899
340167,18916,3,8,3.553712
104993,35,0,1,0.015078
246692,35,0,1,0.014823
192672,35,0,1,0.014813
291673,32,0,1,0.014682
423091,1471,5,6,0.187358
48885,35,0,1,0.014774
383600,322,1,3,0.057809
387114,9529,2,136,5.545281
26639,15860,1,7,0.830121
365368,53,0,1,0.015413
156219,35,0,1,0.014941
142734,35,0,1,0.014861
85295,35,0,1,0.014914
302069,35,0,1,0.014893
38264,35,0,1,0.014893
104859,35,0,1,0.015021
181228,35,0,1,0.014937
372642,1678,3,14,0.332561
217462,35,0,1,0.015099
18936,137,1,2,0.036037
378060,1757,2,6,0.195817
311099,147,0,1,0.017902
259839,35,0,1,0.015051
230360,31,0,1,0.014747
429781,1082,5,7,0.19814
42714,35,0,1,0.014983
433619,938,1,3,0.076895
348656,82,0,1,0.016187
156787,35,0,1,0.014888
138709,35,0,1,0.014949
176242,35,0,1,0.014909
140049,35,0,1,0.014904
454575,802,1,5,0.112895
12154,239,1,2,0.038283
