id,chars,entities,recurse,time
184756,35,0,1,2.501171
125469,16,0,1,0.142845
147120,35,0,1,0.14214
20667,4154,2,5,1.28367
238377,24,0,1,0.141732
26212,379,1,5,0.83889
434468,7274,5,20,10.393545
366664,756,3,5,0.850953
281518,35,0,1,0.137485
217308,35,0,1,0.14063
16674,98,1,2,0.313349
305391,35,0,1,0.143253
48272,35,0,1,0.141766
428535,6865,5,70,15.083923
440783,115,0,1,0.145897
95771,22,0,1,0.137207
53476,35,0,1,0.277907
441084,136,0,1,0.204183
36583,35,0,1,0.144903
272764,35,0,1,0.145703
93107,22,0,1,0.142389
8382,250,1,3,0.735125
9779,2565,2,3,0.569992
352576,8417,3,10,2.946563
259063,35,0,1,0.138073
334192,61,1,2,0.305849
115567,35,0,1,0.139945
195311,35,0,1,0.140763
327935,32124,3,5,5.342637
45313,35,0,1,0.147628
215784,35,0,1,0.215763
347077,31,0,1,0.145557
217346,35,0,1,0.13798
145256,35,0,1,0.222163
241878,35,0,1,0.176236
341326,182,0,1,0.148629
9757,34,1,2,0.311658
116616,35,0,1,0.141635
460653,2800,1,21,3.677175
23645,34,0,1,0.141458
380268,176,0,1,0.144947
336553,390,1,2,0.322775
109527,35,0,1,0.140736
395861,102,0,1,0.143269
191559,35,0,1,0.142617
40068,35,0,1,0.142998
330429,1356,3,8,1.517792
127187,16,0,1,0.139606
156462,35,0,1,0.140855
230708,31,0,1,0.140434
152550,35,0,1,0.140297
314642,60,0,1,0.141055
112106,35,0,1,0.140277
162511,35,0,1,0.135847
137579,35,0,1,0.136265
44354,35,0,1,0.140789
215114,35,0,1,0.13939
21427,110,1,2,0.310959
222948,35,0,1,0.141388
78233,132,0,1,0.141263
306783,905,1,2,0.328743
361619,1035,4,8,1.670526
454520,571,1,3,0.49702
32754,26,0,1,0.140929
177151,35,0,1,0.141564
369183,24175,1,18,11.018737
244624,35,0,1,0.142509
127312,16,0,1,0.140713
88086,22,0,1,0.142377
407422,53115,4,61,50.998781
77862,132,0,1,0.150511
130802,35,0,1,0.141942
431630,1082,5,7,1.742971
33786,165,1,2,0.320814
269083,35,0,1,0.13988
258363,35,0,1,0.139445
419047,136,0,1,0.145317
148492,35,0,1,0.14292
126551,16,0,1,0.14359
213404,35,0,1,0.147377
218263,35,0,1,0.140584
229595,35,0,1,0.140412
173637,35,0,1,0.142674
191679,35,0,1,0.141713
180194,35,0,1,0.139391
396222,0,0,0,2.7e-05
322803,1192,2,5,0.858208
315469,877,4,5,0.85351
381338,41083,4,190,74.073361
301210,35,0,1,0.140279
5071,353,2,6,1.526236
296507,44,2,3,0.490755
347622,1016,4,6,1.348373
268522,35,0,1,0.141234
183780,35,0,1,0.140723
107049,35,0,1,0.142499
448773,81,0,1,0.142546
4330,7987,3,138,44.794565
18524,383,0,1,0.152871
374873,889,1,5,0.8446
415785,316,1,2,0.318757
123594,35,0,1,0.141278
70777,35,0,1,0.141873
129304,35,0,1,0.139264
226181,35,0,1,0.140041
